notatie,label,cas,csor_eea,echa_ec_kandidaten,pubchem_ec_kandidaten,geverifieerde_ec_kandidaten,resultaat
V_1524,Climbazool,38083-17-9,,253-775-4,253-775-4,253-775-4,suggestie
V_191,3-Chloor-4-methoxyaniline,5345-54-0,,,226-298-4,226-298-4,suggestie
V_357,Benzeen,71-43-2,200-753-7,200-753-7,200-753-7,200-753-7,bevestigd
V_1537,Methylglycol,109-86-4,,203-713-7,203-713-7,203-713-7,suggestie
V_217,Metazachloor ESA,172960-62-2,,,,,onbekend
V_990,Ametryn,834-12-8,,212-634-7,212-634-7,212-634-7,suggestie
V_727,Propaan,74-98-6,,200-827-9,200-827-9,200-827-9,suggestie
V_2142,Decaanzuur,334-48-5,,206-376-4,206-376-4,206-376-4,suggestie
V_1595,2-Buteen,107-01-7,,203-452-9,210-855-3; 618-356-6,210-855-3; 618-356-6,suggestie
V_903,Flufenacet,142459-58-3,,,,,onbekend
V_996,Lenacil,2164-08-1,,218-499-0,218-499-0,218-499-0,suggestie
V_1393,Metconazool,125116-23-6,603-031-3,,603-031-3,603-031-3,bevestigd
V_829,Ditallowdimethylammoniumchloride,68783-78-8,,,,,onbekend
V_930,Pentabroombenzylalcohol,79415-41-1,,,623-305-6,623-305-6,suggestie
V_2056,2-Methylnaftaleen,91-57-6,,,202-078-3,202-078-3,suggestie
V_722,Bromoxynil,1689-84-5,,216-882-7,216-882-7,216-882-7,suggestie
V_717,Chloorpyrifos-methyl,5598-13-0,,227-011-5,227-011-5,227-011-5,suggestie
V_594,trans-Chloordaan,5103-74-2,,,225-826-0,225-826-0,suggestie
V_2192,iso-Boterzuur,79-31-2,,201-195-7,201-195-7,201-195-7,suggestie
V_1993,Metacroleïne,78-85-3,,,201-150-1,201-150-1,suggestie
V_1002,Benzothiofeen,95-15-8,,,202-395-7,202-395-7,suggestie
V_2127,Captafol,2425-06-1,,219-363-3,219-363-3,219-363-3,suggestie
V_496,Difenyloxide,101-84-8,,202-981-2,202-981-2,202-981-2,suggestie
V_1505,2-perfluorbutaansulfonamidoethanol (FBSE),34454-99-4,,,827-000-0,827-000-0,suggestie
V_1016,Dodecyltrimethylammonium,1119-94-4,,,214-290-3,214-290-3,suggestie
V_902,Chloorbromuron,13360-45-7,,,236-411-9,236-411-9,suggestie
V_934,Cyprodinil,121552-61-2,,,601-785-8,601-785-8,suggestie
V_1278,Oxacilline,66-79-5,200-635-5,,200-635-5,200-635-5,bevestigd
V_2129,Carbofuran,1563-66-2,,216-353-0,216-353-0,216-353-0,suggestie
V_474,Pirimicarb,23103-98-2,,245-430-1,245-430-1,245-430-1,suggestie
V_1686,Koolstofdioxide,124-38-9,,,204-696-9,204-696-9,suggestie
V_1606,"3,6-Dimethylfenantreen",1576-67-6,,,216-409-4,216-409-4,suggestie
V_502,"1,2,4-Trichloorbenzeen",120-82-1,,204-428-0,204-428-0,204-428-0,suggestie
V_549,Broommethaan,74-83-9,,200-813-2,200-813-2,200-813-2,suggestie
V_999,2-Methylbenzofuraan,4265-25-2,,,224-249-1,224-249-1,suggestie
V_339,Koper,7440-50-8,,231-159-6,231-159-6,231-159-6,suggestie
V_1069,Perfluorkoolwaterstoffen,308069-13-8,,,,,onbekend
V_719,Diazinon,333-41-5,,206-373-8,206-373-8,206-373-8,suggestie
V_1497,"2,2',3,4,6,6'-Hexachloorbifenyl (PCB 145)",74472-40-5,,,,,onbekend
V_1450,"Perfluor([5-methoxy-1,3-dioxolaan-4-yl]oxy)azijnzu",1190931-41-9,,,682-239-6,682-239-6,suggestie
V_1395,N-ethylperfluoroctaan-1-sulfonamide (EtPFOSA),4151-50-2,223-980-3,,223-980-3,223-980-3,bevestigd
V_590,Propylbenzeen,103-65-1,,203-132-9,203-132-9,203-132-9,suggestie
V_349,Vanadium,7440-62-2,,231-171-1,231-171-1,231-171-1,suggestie
V_995,Microcystine,77238-39-2,,,,,onbekend
V_1359,6:2 fluortelomeersulfonzuur (6:2 FTS),27619-97-2,,,248-580-6,248-580-6,suggestie
V_1409,Perfluor-1-tridecaansulfonzuur (PFTrS),791563-89-8,,,,,onbekend
V_2039,Nicosulferon,111991-09-4,,,686-897-5; 691-662-5,686-897-5; 691-662-5,suggestie
V_1770,Isopreen,78-79-5,,201-143-3,201-143-3,201-143-3,suggestie
V_30,"2,3,4,7,8-Pentachloordibenzofuraan",57117-31-4,,,694-761-1,694-761-1,suggestie
V_1239,Amoxicilline,26787-78-0,248-003-8,,248-003-8,248-003-8,bevestigd
V_612,"2,2',4,5'-Tetrachloorbifenyl (PCB49)",41464-40-8,,,690-225-6,690-225-6,suggestie
V_1378,Perfluornonaansulfonzuur (PFNS),68259-12-1,,,,,onbekend
V_822,Tetramethylpiperidinon,826-36-8,,,212-554-2,212-554-2,suggestie
V_886,Mirex,2385-85-5,,219-196-6,219-196-6,219-196-6,suggestie
V_772,"1,2,3,5-Tetrachloorbenzeen",634-90-2,,,211-217-7,211-217-7,suggestie
V_1280,Sulfaquinoxaline,59-40-5,200-423-2,,200-423-2,200-423-2,bevestigd
V_271,"2,3-Dichlooraniline",608-27-5,,,210-157-9,210-157-9,suggestie
V_218,Metazachloor OA,1231244-60-2,,,,,onbekend
V_637,Cumafos,56-72-4,,200-285-3,200-285-3,200-285-3,suggestie
V_433,"1,1,2,2-Tetrachloorethaan",79-34-5,,201-197-8,201-197-8,201-197-8,suggestie
V_283,Diethylftalaat,84-66-2,,201-550-6,201-550-6,201-550-6,suggestie
V_789,Monofenyltin,2406-68-0,,,,,onbekend
V_588,"1,2,4-Trimethylbenzeen",95-63-6,,202-436-9,202-436-9,202-436-9,suggestie
V_547,4-Chloortolueen,106-43-4,,203-397-0,203-397-0,203-397-0,suggestie
V_1472,"2,4-Dichlorobenzoëzuur",50-84-0,,,200-067-8,200-067-8,suggestie
V_1633,Acroleine,107-02-8,,203-453-4,203-453-4,203-453-4,suggestie
V_634,Chloorprofam,101-21-3,,202-925-7,202-925-7,202-925-7,suggestie
V_1,alfa+beta Endosulfan,115-29-7,204-079-4,204-079-4,204-079-4,204-079-4,bevestigd
V_1383,6:2/8:2 Fluortelomeerfosfaat diester,943913-15-3,,,,,onbekend
V_395,Methoxychloor,72-43-5,,200-779-9,200-779-9,200-779-9,suggestie
V_2139,dichloorazijnzuur,79-43-6,,201-207-0,201-207-0,201-207-0,suggestie
V_2052,2-Ethylhexylacrylaat,103-11-7,,203-080-7,203-080-7; 618-950-5,203-080-7; 618-950-5,suggestie
V_804,Desmetryn,1014-69-3,,213-800-1,213-800-1,213-800-1,suggestie
V_2100,Azijnzuur,64-19-7,,200-580-7,200-580-7; 616-485-2,200-580-7; 616-485-2,suggestie
V_746,1-Hexeen,592-41-6,,209-753-1,209-753-1,209-753-1,suggestie
V_489,4-n-Pentylfenol,14938-35-3,,,239-015-4,239-015-4,suggestie
V_1396,6:2 fluortelomeerfosfaat monoester (6:2 PAP),57678-01-0,,,,,onbekend
V_949,Perthane,72-56-0,,,200-785-1,200-785-1,suggestie
V_2216,Kiezelzuur,1343-98-2,,,233-477-0,233-477-0,suggestie
V_440,2-Chloor-4-methylaniline,615-65-6,,,210-440-7,210-440-7,suggestie
V_352,"1,3,5-Trimethylbenzeen",108-67-8,,203-604-4,203-604-4,203-604-4,suggestie
V_553,"1,2-Dibroom-3-chloorpropaan",96-12-8,,202-479-3,202-479-3,202-479-3,suggestie
V_923,"N,N-Dimethylcyclohexylamine",98-94-2,,202-715-5,202-715-5,202-715-5,suggestie
V_1487,3-Chloorbifenyl (PCB 2),2051-61-8,,,218-126-1,218-126-1,suggestie
V_148,Fipronil,120068-37-3,,424-610-5,424-610-5,424-610-5,suggestie
V_763,Natrium,7440-23-5,,231-132-9,231-132-9,231-132-9,suggestie
V_2132,Chloordeen,3734-48-3,,,223-096-8,223-096-8,suggestie
V_991,Prometon,1610-18-0,,,216-548-0,216-548-0,suggestie
V_973,2-Butanol,78-92-2,,201-158-5,201-158-5; 240-029-8,201-158-5; 240-029-8,suggestie
V_631,Chloorethaan,75-00-3,,200-830-5,200-830-5,200-830-5,suggestie
V_794,Tricyclohexyltin,36580-86-6,,,,,onbekend
V_150,Hexabroomdifenylether,36483-60-0,,,253-058-6,253-058-6,suggestie
V_774,"1,2,4,5-Tetrachloorbenzeen",95-94-3,,,202-466-2,202-466-2,suggestie
V_1449,2-Mercaptobenzothiazole,149-30-4,,205-736-8,205-736-8,205-736-8,suggestie
V_846,Dioctyltin,15231-44-4,,,,,onbekend
V_205,Glutaaraldehyde,111-30-8,,203-856-5,203-856-5,203-856-5,suggestie
V_985,Perfluoroctaansulfonamide (PFOSA),754-91-6,,,212-046-0,212-046-0,suggestie
V_1274,Difloxacine,98106-17-3,,,,,onbekend
V_1263,Chloortetracycline,57-62-5,200-341-7,,,,onbekend
V_344,Nikkel,7440-02-0,231-111-4,231-111-4,231-111-4; 445-070-7; 935-135-2,231-111-4; 445-070-7; 935-135-2,bevestigd
V_1426,"2,2',3,3',4,4',5,5',6-Nonabroomdifenylether (BDE206)",63387-28-0,,,,,onbekend
V_793,Tributyltin,36643-28-4,,,,,onbekend
V_611,Benzidine,92-87-5,,202-199-1,202-199-1,202-199-1,suggestie
V_2309,Tri-ethylhexylfosfaat,78-42-2,,201-116-6,201-116-6,201-116-6,suggestie
V_1495,"3,3',4,5'-Tetrachloorbifenyl (PCB 78)",70362-49-1,,,,,onbekend
V_222,"4-Hydroxy-2,5,6-trichloroisophthalonitrile",28343-61-5,,,,,onbekend
