notatie,cas,label,stored_inchikey,resolved_inchikey,resolution_method,status
V_1524,38083-17-9,Climbazool,OWEGWHBOCFMBLP-UHFFFAOYSA-N,OWEGWHBOCFMBLP-UHFFFAOYSA-N,cas,match
V_191,5345-54-0,3-Chloor-4-methoxyaniline,XQVCBOLNTSUFGD-UHFFFAOYSA-N,XQVCBOLNTSUFGD-UHFFFAOYSA-N,cas,match
V_357,71-43-2,Benzeen,UHOVQNZJYSORNB-UHFFFAOYSA-N,UHOVQNZJYSORNB-UHFFFAOYSA-N,cas,match
V_1537,109-86-4,Methylglycol,XNWFRZJHXBZDAG-UHFFFAOYSA-N,XNWFRZJHXBZDAG-UHFFFAOYSA-N,cas,match
V_217,172960-62-2,Metazachloor ESA,IPVCSECPEVHQOV-UHFFFAOYSA-N,IPVCSECPEVHQOV-UHFFFAOYSA-N,cas,match
V_990,834-12-8,Ametryn,RQVYBGPQFYCBGX-UHFFFAOYSA-N,RQVYBGPQFYCBGX-UHFFFAOYSA-N,cas,match
V_727,74-98-6,Propaan,ATUOYWHBWRKTHZ-UHFFFAOYSA-N,ATUOYWHBWRKTHZ-UHFFFAOYSA-N,cas,match
V_2142,334-48-5,Decaanzuur,GHVNFZFCNZKVNT-UHFFFAOYSA-N,GHVNFZFCNZKVNT-UHFFFAOYSA-N,cas,match
V_1595,107-01-7,2-Buteen,IAQRGUVFOMOMEM-UHFFFAOYSA-N,IAQRGUVFOMOMEM-ONEGZZNKSA-N,cas,mismatch
V_903,142459-58-3,Flufenacet,IANUJLZYFUDJIH-UHFFFAOYSA-N,IANUJLZYFUDJIH-UHFFFAOYSA-N,cas,match
V_996,2164-08-1,Lenacil,ZTMKADLOSYKWCA-UHFFFAOYSA-N,ZTMKADLOSYKWCA-UHFFFAOYSA-N,cas,match
V_1393,125116-23-6,Metconazool,XWPZUHJBOLQNMN-UHFFFAOYSA-N,XWPZUHJBOLQNMN-UHFFFAOYSA-N,cas,match
V_829,68783-78-8,Ditallowdimethylammoniumchloride,,,,unresolved
V_930,79415-41-1,Pentabroombenzylalcohol,KKWHDMUCBWSKGL-UHFFFAOYSA-N,KKWHDMUCBWSKGL-UHFFFAOYSA-N,cas,match
V_2056,91-57-6,2-Methylnaftaleen,QIMMUPPBPVKWKM-UHFFFAOYSA-N,QIMMUPPBPVKWKM-UHFFFAOYSA-N,cas,match
V_722,1689-84-5,Bromoxynil,UPMXNNIRAGDFEH-UHFFFAOYSA-N,UPMXNNIRAGDFEH-UHFFFAOYSA-N,cas,match
V_717,5598-13-0,Chloorpyrifos-methyl,HRBKVYFZANMGRE-UHFFFAOYSA-N,HRBKVYFZANMGRE-UHFFFAOYSA-N,cas,match
V_594,5103-74-2,trans-Chloordaan,BIWJNBZANLAXMG-OESJLNMISA-N,BIWJNBZANLAXMG-OESJLNMISA-N,cas,match
V_2192,79-31-2,iso-Boterzuur,KQNPFQTWMSNSAP-UHFFFAOYSA-N,KQNPFQTWMSNSAP-UHFFFAOYSA-N,cas,match
V_1993,78-85-3,Metacroleïne,STNJBCKSHOAVAJ-UHFFFAOYSA-N,STNJBCKSHOAVAJ-UHFFFAOYSA-N,cas,match
V_1002,95-15-8,Benzothiofeen,FCEHBMOGCRZNNI-UHFFFAOYSA-N,FCEHBMOGCRZNNI-UHFFFAOYSA-N,cas,match
V_2127,2425-06-1,Captafol,JHRWWRDRBPCWTF-UHFFFAOYNA-N,JHRWWRDRBPCWTF-UHFFFAOYSA-N,cas,mismatch
V_496,101-84-8,Difenyloxide,USIUVYZYUHIAEV-UHFFFAOYSA-N,USIUVYZYUHIAEV-UHFFFAOYSA-N,cas,match
V_1505,34454-99-4,2-perfluorbutaansulfonamidoethanol (FBSE),ASJXVGSUYQIIBC-UHFFFAOYSA-N,ASJXVGSUYQIIBC-UHFFFAOYSA-N,cas,match
