notatie,cid,csor_inchikey,pubchem_inchikey,inchikey_match,csor_iupac,pubchem_iupac,found
V_1486,16323,FPWNLURCHDRMHC-UHFFFAOYSA-N,FPWNLURCHDRMHC-UHFFFAOYSA-N,True,1-chloro-4-phenylbenzene,1-chloro-4-phenylbenzene,True
V_1487,16322,NMWSKOLWZZWHPL-UHFFFAOYSA-N,NMWSKOLWZZWHPL-UHFFFAOYSA-N,True,1-chloro-3-phenylbenzene,1-chloro-3-phenylbenzene,True
V_1488,249266,LAXBNTIAOJWAOP-UHFFFAOYSA-N,LAXBNTIAOJWAOP-UHFFFAOYSA-N,True,1-chloro-2-phenylbenzene,1-chloro-2-phenylbenzene,True
V_1489,36342,IYZWUWBAFUBNCH-UHFFFAOYSA-N,IYZWUWBAFUBNCH-UHFFFAOYSA-N,True,"1,3-dichloro-2-phenylbenzene","1,3-dichloro-2-phenylbenzene",True
V_1490,36981,QHZSDTDMQZPUKC-UHFFFAOYSA-N,QHZSDTDMQZPUKC-UHFFFAOYSA-N,True,"1,3-dichloro-5-phenylbenzene","1,3-dichloro-5-phenylbenzene",True
V_1491,41541,IUYHQGMDSZOPDZ-UHFFFAOYSA-N,IUYHQGMDSZOPDZ-UHFFFAOYSA-N,True,"1,2,3-trichloro-4-phenylbenzene","1,2,3-trichloro-4-phenylbenzene",True
V_1492,37247,MTLMVEWEYZFYTH-UHFFFAOYSA-N,MTLMVEWEYZFYTH-UHFFFAOYSA-N,True,"1,3,5-trichloro-2-phenylbenzene","1,3,5-trichloro-2-phenylbenzene",True
V_1493,44163,VLLVVZDKBSYMCG-UHFFFAOYSA-N,VLLVVZDKBSYMCG-UHFFFAOYSA-N,True,"1,3,5-trichloro-2-(2-chlorophenyl)benzene","1,3,5-trichloro-2-(2-chlorophenyl)benzene",True
V_1494,63102,ZKGSEEWIVLAUNH-UHFFFAOYSA-N,ZKGSEEWIVLAUNH-UHFFFAOYSA-N,True,"1,2,3-trichloro-4-(3-chlorophenyl)benzene","1,2,3-trichloro-4-(3-chlorophenyl)benzene",True
V_1495,63101,SXFLURRQRFKBNN-UHFFFAOYSA-N,SXFLURRQRFKBNN-UHFFFAOYSA-N,True,"1,2,3-trichloro-5-(3-chlorophenyl)benzene","1,2,3-trichloro-5-(3-chlorophenyl)benzene",True
V_1496,91662,MTCPZNVSDFCBBE-UHFFFAOYSA-N,MTCPZNVSDFCBBE-UHFFFAOYSA-N,True,"1,3,5-trichloro-2-(2,6-dichlorophenyl)benzene","1,3,5-trichloro-2-(2,6-dichlorophenyl)benzene",True
V_1497,93442,JZFZCLFEPXCRCA-UHFFFAOYSA-N,JZFZCLFEPXCRCA-UHFFFAOYSA-N,True,"1,2,3,5-tetrachloro-4-(2,6-dichlorophenyl)benzene","1,2,3,5-tetrachloro-4-(2,6-dichlorophenyl)benzene",True
V_1498,91721,JDZUWXRNKHXZFE-UHFFFAOYSA-N,JDZUWXRNKHXZFE-UHFFFAOYSA-N,True,"1,2,3,4,5-pentachloro-6-(2,4,6-trichlorophenyl)benzene","1,2,3,4,5-pentachloro-6-(2,4,6-trichlorophenyl)benzene",True
V_2037,40585,OWZREIFADZCYQD-NSHGMRRFSA-N,OWZREIFADZCYQD-NSHGMRRFSA-N,True,"trans-[(S)-cyano-(3-phenoxyphenyl)methyl] (1R,3R)-3-(2,2-dibromoethenyl)-2,2-dimethylcyclopropane-1-carboxylate","trans-[(S)-cyano-(3-phenoxyphenyl)methyl] (1R,3R)-3-(2,2-dibromoethenyl)-2,2-dimethylcyclopropane-1-carboxylate",True
V_2039,73281,RTCOGUMHFFWOJV-UHFFFAOYSA-N,RTCOGUMHFFWOJV-UHFFFAOYSA-N,True,"2-[(4,6-dimethoxypyrimidin-2-yl)carbamoylsulfamoyl]-N,N-dimethylpyridine-3-carboxamide","2-[(4,6-dimethoxypyrimidin-2-yl)carbamoylsulfamoyl]-N,N-dimethylpyridine-3-carboxamide",True
V_2040,5564,XEFQLINVKFYRCS-UHFFFAOYSA-N,XEFQLINVKFYRCS-UHFFFAOYSA-N,True,"5-chloro-2-(2,4-dichlorophenoxy)phenol","5-chloro-2-(2,4-dichlorophenoxy)phenol",True
V_2041,83315,BGDCQZFFNFXYQC-UHFFFAOYSA-N,BGDCQZFFNFXYQC-UHFFFAOYSA-N,True,1-chloro-2-methyl-4-nitrobenzene,1-chloro-2-methyl-4-nitrobenzene,True
V_2038,10342051,NYPJDWWKZLNGGM-RPWUZVMVSA-N,NYPJDWWKZLNGGM-RPWUZVMVSA-N,True,[(S)-cyano-(3-phenoxyphenyl)methyl] (2S)-2-(4-chlorophenyl)-3-methylbutanoate,[(S)-cyano-(3-phenoxyphenyl)methyl] (2S)-2-(4-chlorophenyl)-3-methylbutanoate,True
V_2036,6442842,OMFRMAHOUUJSGP-IRHGGOMRSA-N,OMFRMAHOUUJSGP-IRHGGOMRSA-N,True,"trans-(2-methyl-3-phenylphenyl)methyl (1R,3R)-3-[(Z)-2-chloro-3,3,3-trifluoroprop-1-enyl]-2,2-dimethylcyclopropane-1-carboxylate","trans-(2-methyl-3-phenylphenyl)methyl (1R,3R)-3-[(Z)-2-chloro-3,3,3-trifluoroprop-1-enyl]-2,2-dimethylcyclopropane-1-carboxylate",True
V_2063,7390,QCWXDVFBZVHKLV-UHFFFAOYSA-N,QCWXDVFBZVHKLV-UHFFFAOYSA-N,True,1-tert-butyl-4-methylbenzene,1-tert-butyl-4-methylbenzene,True
V_2146,11487,DMBHHRLKUKUOEG-UHFFFAOYSA-N,DMBHHRLKUKUOEG-UHFFFAOYSA-N,True,N-phenylaniline,N-phenylaniline,True
V_2179,753,PEDCQBHIVMGVHV-UHFFFAOYSA-N,PEDCQBHIVMGVHV-UHFFFAOYSA-N,True,"propane-1,2,3-triol","propane-1,2,3-triol",True
V_2253,3032390,LHENQXAPVKABON-UHFFFAOYSA-N,LHENQXAPVKABON-UHFFFAOYSA-N,True,1-methoxypropan-1-ol,1-methoxypropan-1-ol,True
V_2306,6421,YNJBWRMUSHSURL-UHFFFAOYSA-N,YNJBWRMUSHSURL-UHFFFAOYSA-N,True,"2,2,2-trichloroacetic acid","2,2,2-trichloroacetic acid",True
V_2344,7393,QHPQWRBYOIRBIT-UHFFFAOYSA-N,QHPQWRBYOIRBIT-UHFFFAOYSA-N,True,4-tert-butylphenol,4-tert-butylphenol,True
V_2355,91566,LUXSISXJGNCOKN-UHFFFAOYSA-N,LUXSISXJGNCOKN-UHFFFAOYSA-N,True,"2,2,2-trichloro-1-(2-chlorophenyl)-1-(4-chlorophenyl)ethanol","2,2,2-trichloro-1-(2-chlorophenyl)-1-(4-chlorophenyl)ethanol",True
V_2046,7895,XNLICIUVMPYHGG-UHFFFAOYSA-N,XNLICIUVMPYHGG-UHFFFAOYSA-N,True,pentan-2-one,pentan-2-one,True
V_2106,999,WLJVXDMOQOGPHL-UHFFFAOYSA-N,WLJVXDMOQOGPHL-UHFFFAOYSA-N,True,2-phenylacetic acid,2-phenylacetic acid,True
V_2143,5364559,YKNMBTZOEVIJCM-HWKANZROSA-N,YKNMBTZOEVIJCM-HWKANZROSA-N,True,(E)-dec-2-ene,(E)-dec-2-ene,True
V_2153,6228,ZMXDDKWLCZADIW-UHFFFAOYSA-N,ZMXDDKWLCZADIW-UHFFFAOYSA-N,True,"N,N-dimethylformamide","N,N-dimethylformamide",True
V_2200,37517,ONUFESLQCSAYKA-UHFFFAOYSA-N,ONUFESLQCSAYKA-UHFFFAOYSA-N,True,"3-(3,5-dichlorophenyl)-2,4-dioxo-N-propan-2-ylimidazolidine-1-carboxamide","3-(3,5-dichlorophenyl)-2,4-dioxo-N-propan-2-ylimidazolidine-1-carboxamide",True
V_2298,61247,HVZJRWJGKQPSFL-UHFFFAOYSA-N,HVZJRWJGKQPSFL-UHFFFAOYSA-N,True,2-methoxy-2-methylbutane,2-methoxy-2-methylbutane,True
V_2300,6415,QIONYIKHPASLHO-UHFFFAOYSA-N,QIONYIKHPASLHO-UHFFFAOYSA-N,True,"2,2,2-tribromoacetic acid","2,2,2-tribromoacetic acid",True
V_2314,1127,RAOIDOHSFRTOEL-UHFFFAOYSA-N,RAOIDOHSFRTOEL-UHFFFAOYSA-N,True,thiolane,thiolane,True
V_2326,1176,XSQUKJJJFZCRTK-UHFFFAOYSA-N,XSQUKJJJFZCRTK-UHFFFAOYSA-N,True,urea,urea,True
V_2126,10112,VTYYLEPIZMXCLO-UHFFFAOYSA-L,VTYYLEPIZMXCLO-UHFFFAOYSA-L,True,calcium carbonate,calcium carbonate,True
V_2129,2566,DUEPRVBVGDRKAG-UHFFFAOYSA-N,DUEPRVBVGDRKAG-UHFFFAOYSA-N,True,"(2,2-dimethyl-3H-1-benzofuran-7-yl) N-methylcarbamate","(2,2-dimethyl-3H-1-benzofuran-7-yl) N-methylcarbamate",True
V_2148,3283,RTZKZFJDLAIYFH-UHFFFAOYSA-N,RTZKZFJDLAIYFH-UHFFFAOYSA-N,True,ethoxyethane,ethoxyethane,True
V_2196,7915,JMMWKPVZQRWMSS-UHFFFAOYSA-N,JMMWKPVZQRWMSS-UHFFFAOYSA-N,True,propan-2-yl acetate,propan-2-yl acetate,True
V_2288,4944,ISRUGXGCCGIOQO-UHFFFAOYSA-N,ISRUGXGCCGIOQO-UHFFFAOYSA-N,True,(2-propan-2-yloxyphenyl) N-methylcarbamate,(2-propan-2-yloxyphenyl) N-methylcarbamate,True
V_2064,72666,WSJBSKRPKADYRQ-UHFFFAOYSA-N,WSJBSKRPKADYRQ-UHFFFAOYSA-N,True,"N-(1,5-dimethyl-3-oxo-2-phenylpyrazol-4-yl)formamide","N-(1,5-dimethyl-3-oxo-2-phenylpyrazol-4-yl)formamide",True
V_2084,12348,PGMYKACGEOXYJE-UHFFFAOYSA-N,PGMYKACGEOXYJE-UHFFFAOYSA-N,True,pentyl acetate,pentyl acetate,True
V_2047,8461,RMBFBMJGBANMMK-UHFFFAOYSA-N,RMBFBMJGBANMMK-UHFFFAOYSA-N,True,"1-methyl-2,4-dinitrobenzene","1-methyl-2,4-dinitrobenzene",True
V_2056,7055,QIMMUPPBPVKWKM-UHFFFAOYSA-N,QIMMUPPBPVKWKM-UHFFFAOYSA-N,True,2-methylnaphthalene,2-methylnaphthalene,True
V_2104,264,FERIUCNNQQJTOY-UHFFFAOYSA-N,FERIUCNNQQJTOY-UHFFFAOYSA-N,True,butanoic acid,butanoic acid,True
V_2186,985,IPCSVZSSVZVIGE-UHFFFAOYSA-N,IPCSVZSSVZVIGE-UHFFFAOYSA-N,True,hexadecanoic acid,hexadecanoic acid,True
V_2296,13905,MGLWZSOBALDPEK-UHFFFAOYSA-N,MGLWZSOBALDPEK-UHFFFAOYSA-N,True,"2-N,4-N-diethyl-6-methylsulfanyl-1,3,5-triazine-2,4-diamine","2-N,4-N-diethyl-6-methylsulfanyl-1,3,5-triazine-2,4-diamine",True
V_2346,5355863,GEPDYQSQVLXLEU-AATRIKPKSA-N,GEPDYQSQVLXLEU-AATRIKPKSA-N,True,methyl (E)-3-dimethoxyphosphoryloxybut-2-enoate,methyl (E)-3-dimethoxyphosphoryloxybut-2-enoate,True
V_2358,5988,CZMRCDWAGMRECN-UGDNZRGBSA-N,CZMRCDWAGMRECN-UGDNZRGBSA-N,True,"(2R,3R,4S,5S,6R)-2-[(2S,3S,4S,5R)-3,4-dihydroxy-2,5-bis(hydroxymethyl)oxolan-2-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol","(2R,3R,4S,5S,6R)-2-[(2S,3S,4S,5R)-3,4-dihydroxy-2,5-bis(hydroxymethyl)oxolan-2-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol",True
V_2061,124137,WAHSIPRGCUJVRE-IECFSIQFSA-N,WAHSIPRGCUJVRE-IECFSIQFSA-N,True,"(2S,3S,4S,5R,6R)-6-[4-[(4-amino-3-chlorophenyl)methyl]-2-chloroanilino]-3,4,5-trihydroxyoxane-2-carboxylic acid","(2S,3S,4S,5R,6R)-6-[4-[(4-amino-3-chlorophenyl)methyl]-2-chloroanilino]-3,4,5-trihydroxyoxane-2-carboxylic acid",True
V_2067,6342,WEVYAHXRMPXWCK-UHFFFAOYSA-N,WEVYAHXRMPXWCK-UHFFFAOYSA-N,True,acetonitrile,acetonitrile,True
V_2102,16212145,CVMKCYDBEYHNBM-UHFFFAOYSA-N,CVMKCYDBEYHNBM-UHFFFAOYSA-N,True,"1,2,3,4,5-pentabromo-6-(3,4,5-tribromophenoxy)benzene","1,2,3,4,5-pentabromo-6-(3,4,5-tribromophenoxy)benzene",True
V_2059,11251,SYBYTAAJFKOIEJ-UHFFFAOYSA-N,SYBYTAAJFKOIEJ-UHFFFAOYSA-N,True,3-methylbutan-2-one,3-methylbutan-2-one,True
V_2131,17109,FBQQHUGEACOBDN-UHFFFAOYSA-N,FBQQHUGEACOBDN-UHFFFAOYSA-N,True,"6-methyl-[1,3]dithiolo[4,5-b]quinoxalin-2-one","6-methyl-[1,3]dithiolo[4,5-b]quinoxalin-2-one",True
V_2165,6341,QUSNBJAOOMFDIB-UHFFFAOYSA-N,QUSNBJAOOMFDIB-UHFFFAOYSA-N,True,ethanamine,ethanamine,True
V_2154,8020,NKDDWNXOKDWJAK-UHFFFAOYSA-N,NKDDWNXOKDWJAK-UHFFFAOYSA-N,True,dimethoxymethane,dimethoxymethane,True
