class,totaal,metScheme,isConcept,categorie
https://data.omgeving.vlaanderen.be/ns/csor#OrganisatieSpecifiekeReferentie,8461,0,0,structureel-geen-scheme
https://data.omgeving.vlaanderen.be/ns/csor#ParameterAspect,8194,8194,8194,codelijst-100pct
https://data.omgeving.vlaanderen.be/ns/csor#Parameter,4593,4593,4593,codelijst-100pct
https://data.omgeving.vlaanderen.be/ns/csor#Variabele,1896,1896,1896,codelijst-100pct
https://data.omgeving.vlaanderen.be/ns/csor#VeeltermParameterTerm,1287,0,0,structureel-geen-scheme
https://data.omgeving.vlaanderen.be/ns/csor#Eenheid,359,359,359,codelijst-100pct
https://data.omgeving.vlaanderen.be/ns/csor#KwantificeerbaarAspect,139,139,139,codelijst-100pct
https://data.omgeving.vlaanderen.be/ns/csor#ParameterAfleidingVeelterm,131,0,0,structureel-geen-scheme
https://data.omgeving.vlaanderen.be/ns/csor#SoortWaardebepaling,80,80,80,codelijst-100pct
https://data.omgeving.vlaanderen.be/ns/csor#NatuurkundigeDimensie,49,49,49,codelijst-100pct
https://data.omgeving.vlaanderen.be/ns/csor#ParameterAspectOmzetting,20,0,0,structureel-geen-scheme
https://data.omgeving.vlaanderen.be/ns/csor#Drager,12,12,12,codelijst-100pct
https://data.omgeving.vlaanderen.be/ns/csor#ParameterTerm,8,0,0,structureel-geen-scheme
https://data.omgeving.vlaanderen.be/ns/csor#ParameterAfleidingRWZIRendement,5,0,0,structureel-geen-scheme
https://data.omgeving.vlaanderen.be/ns/csor#ParameterAfleidingVerhouding,4,0,0,structureel-geen-scheme
https://data.omgeving.vlaanderen.be/ns/csor#Resultaattype,4,4,4,codelijst-100pct
https://data.omgeving.vlaanderen.be/ns/csor#KwalificeerbaarAspect,3,3,3,codelijst-100pct
