notatie,label,orphan_type
P_2295,Ionenbalans in water,parameter_zonder_parameteraspect
P_3556,"Benzeen, tolueen, ethylbenzeen, xylenen in lucht",parameter_zonder_parameteraspect
P_3214,"1,1,1,2-Tetrachloorethaan in lucht",parameter_zonder_parameteraspect
P_3792,Droge stof in lucht,parameter_zonder_parameteraspect
P_3829,Ethyleendiaminetetra-azijnzuur totaal in vaste deel van de aarde,parameter_zonder_parameteraspect
P_4408,Tetraline in lucht,parameter_zonder_parameteraspect
P_2294,Fosfor totaal gefiltreerd in water,parameter_zonder_parameteraspect
P_4142,Organische stof in lucht,parameter_zonder_parameteraspect
P_4045,"Apolaire koolwaterstoffen, fractie C6-C16 in lucht",parameter_zonder_parameteraspect
P_3903,Glycerine in vaste deel van de aarde,parameter_zonder_parameteraspect
P_4373,Trichloormethaan in biota,parameter_zonder_parameteraspect
P_3623,Chrysotiel in water,parameter_zonder_parameteraspect
P_4063,2-[2-(methoxyethoxy)ethoxy]-ethanol in vaste deel van de aarde,parameter_zonder_parameteraspect
P_3440,4-tert-Butyltolueen in water,parameter_zonder_parameteraspect
P_3217,"1,1,1-Trichloorethaan in biota",parameter_zonder_parameteraspect
P_3953,iso-Butylbenzeen in vaste deel van de aarde,parameter_zonder_parameteraspect
P_3605,Koolstof organisch totaal in lucht,parameter_zonder_parameteraspect
P_3227,"1,1-Dichloorethaan in biota",parameter_zonder_parameteraspect
P_4334,Stookwaarde bij constante druk in water,parameter_zonder_parameteraspect
P_3281,"1,2-Dichloorethaan in biota",parameter_zonder_parameteraspect
P_4434,Tetrachlooretheen in biota,parameter_zonder_parameteraspect
P_2300,Broomchloorethaan in water,parameter_zonder_parameteraspect
P_4577,tert-Butylbenzeen in lucht,parameter_zonder_parameteraspect
P_4322,Radium 226 in vaste deel van de aarde,parameter_zonder_parameteraspect
P_3954,iso-Butylbenzeen in water,parameter_zonder_parameteraspect
P_2341,Waterbodem Index in vaste deel van de aarde,parameter_zonder_parameteraspect
P_4369,Trichlooretheen in biota,parameter_zonder_parameteraspect
P_2292,Sulfaat gefilterd in water,parameter_zonder_parameteraspect
P_4473,Zoutzuur in vaste deel van de aarde,parameter_zonder_parameteraspect
P_3785,Dioctyladiaphate in vaste deel van de aarde,parameter_zonder_parameteraspect
P_4455,Vinylchloride in biota,parameter_zonder_parameteraspect
P_3636,Cyaniden vrij in lucht,parameter_zonder_parameteraspect
P_3732,Dichlooretheen in lucht,parameter_zonder_parameteraspect
P_3477,Anthophylliet in water,parameter_zonder_parameteraspect
P_2302,Hydrazine in water,parameter_zonder_parameteraspect
P_2293,Fosfor anorganisch gefiltreerd in water,parameter_zonder_parameteraspect
P_2296,Chlorofyl b in water,parameter_zonder_parameteraspect
P_3441,4-tert-Butyltolueen in lucht,parameter_zonder_parameteraspect
P_3471,Amosiet in water,parameter_zonder_parameteraspect
P_4009,"Apolaire koolwaterstoffen, fractie C2-C6 in lucht",parameter_zonder_parameteraspect
P_2297,Chlorofyl c in water,parameter_zonder_parameteraspect
P_4562,pH in lucht,parameter_zonder_parameteraspect
P_2301,Chloormethylbenzeen in water,parameter_zonder_parameteraspect
P_4046,"Apolaire koolwaterstoffen, fractie C6-C16 in vaste deel van de aarde",parameter_zonder_parameteraspect
P_4564,pH (KCl) in materiaal,parameter_zonder_parameteraspect
P_3913,Waterstofsulfide in materiaal,parameter_zonder_parameteraspect
P_4436,Tetrachloormethaan in biota,parameter_zonder_parameteraspect
P_4152,Polyaromatische KWS (16 EPA) in lucht,parameter_zonder_parameteraspect
P_3208,Ammonium in TSP,parameter_zonder_parameteraspect
P_2303,Palladium opgelost in water,parameter_zonder_parameteraspect
P_3223,"1,1,2-Trichloorethaan in biota",parameter_zonder_parameteraspect
P_4566,para-Isopropyltolueen in lucht,parameter_zonder_parameteraspect
P_3738,Dichloormethaan in biota,parameter_zonder_parameteraspect
P_4333,Stookwaarde bij constante druk in vaste deel van de aarde,parameter_zonder_parameteraspect
P_4332,Steekvastheid in vaste deel van de aarde,parameter_zonder_parameteraspect
P_3641,Crosidoliet in water,parameter_zonder_parameteraspect
P_3650,Calciumcarbonaat in water,parameter_zonder_parameteraspect
P_4571,"trans-1,2-Dichlooretheen in biota",parameter_zonder_parameteraspect
P_3914,Waterstofsulfide in vaste deel van de aarde,parameter_zonder_parameteraspect
P_4496,"cis-1,2-Dichlooretheen in biota",parameter_zonder_parameteraspect
P_3678,Chloordeen in water,parameter_zonder_parameteraspect
E_273,milligram equivalenten per liter,eenheid_zonder_kwantificeerbaaraspect
E_69,microgram equivalent per liter,eenheid_zonder_kwantificeerbaaraspect
E_88,microgram equivalenten per uur,eenheid_zonder_kwantificeerbaaraspect
E_271,microgram equivalenten per kubieke meter,eenheid_zonder_kwantificeerbaaraspect
E_85,picogram equivalenten per kubieke meter,eenheid_zonder_kwantificeerbaaraspect
E_291,liter per gram,eenheid_zonder_kwantificeerbaaraspect
E_246,kubieke centimeter per kilogram,eenheid_zonder_kwantificeerbaaraspect
E_272,milligram equivalenten per kubieke meter,eenheid_zonder_kwantificeerbaaraspect
E_270,nanogram equivalenten per kubieke meter,eenheid_zonder_kwantificeerbaaraspect
E_187,nanogram equivalenten per liter,eenheid_zonder_kwantificeerbaaraspect
E_274,gram equivalenten per liter,eenheid_zonder_kwantificeerbaaraspect
E_86,milligram equivalenten per jaar,eenheid_zonder_kwantificeerbaaraspect
E_87,gram equivalenten per jaar,eenheid_zonder_kwantificeerbaaraspect
E_275,gram equivalenten per kubieke meter,eenheid_zonder_kwantificeerbaaraspect
E_249,per gram,eenheid_zonder_kwantificeerbaaraspect
,passiveSamplingFilter,drager_nooit_gebruikt
