property,richting,min,max,gemiddeld,aantal
classificatielijst,forward,,,,0
classificatielijst,backward,,,,0
geldigTot,forward,1.0,1.0,1.0,43
geldigTot,backward,1.0,34.0,14.33,3
heeftAfleiding,forward,1.0,3.0,1.08,128
heeftAfleiding,backward,1.0,1.0,1.0,138
heeftAspect,forward,1.0,1.0,1.0,8547
heeftAspect,backward,1.0,3049.0,81.4,105
heeftBronEenheid,forward,1.0,1.0,1.0,10
heeftBronEenheid,backward,1.0,5.0,2.5,4
heeftBronParameter,forward,1.0,1.0,1.0,1292
heeftBronParameter,backward,1.0,8.0,2.05,631
heeftBronParameterAspect,forward,1.0,1.0,1.0,10
heeftBronParameterAspect,backward,1.0,1.0,1.0,10
heeftDoelEenheid,forward,1.0,1.0,1.0,10
heeftDoelEenheid,backward,1.0,4.0,1.67,6
heeftDoelParameter,forward,1.0,1.0,1.0,148
heeftDoelParameter,backward,1.0,3.0,1.1,135
heeftDoelParameterAspect,forward,1.0,1.0,1.0,10
heeftDoelParameterAspect,backward,1.0,1.0,1.0,10
heeftDrager,forward,1.0,1.0,1.0,4890
heeftDrager,backward,25.0,2131.0,444.55,11
heeftKwantificeerbaarAspect,forward,1.0,3.0,1.12,342
heeftKwantificeerbaarAspect,backward,1.0,18.0,2.8,137
heeftNatuurkundigeDimensie,forward,1.0,1.0,1.0,494
heeftNatuurkundigeDimensie,backward,2.0,96.0,10.08,49
heeftNoemer,forward,1.0,1.0,1.0,4
heeftNoemer,backward,1.0,1.0,1.0,4
heeftParameter,forward,1.0,1.0,1.0,8547
heeftParameter,backward,1.0,7.0,1.77,4819
heeftParameterAspect,forward,1.0,7.0,1.77,4819
heeftParameterAspect,backward,1.0,1.0,1.0,8547
heeftResultaattype,forward,1.0,1.0,1.0,140
heeftResultaattype,backward,1.0,135.0,35.0,4
heeftSoortWaardebepaling,forward,1.0,1.0,1.0,4890
heeftSoortWaardebepaling,backward,1.0,3960.0,61.12,80
heeftTeller,forward,1.0,1.0,1.0,4
heeftTeller,backward,1.0,1.0,1.0,4
heeftTerm,forward,1.0,49.0,9.91,129
heeftTerm,backward,1.0,1.0,1.0,1279
heeftVariabele,forward,1.0,1.0,1.0,4890
heeftVariabele,backward,1.0,27.0,2.44,2003
referentieEenheid,forward,1.0,1.0,1.0,49
referentieEenheid,backward,1.0,1.0,1.0,49
toepasbareEenheid,forward,1.0,18.0,2.8,137
toepasbareEenheid,backward,1.0,3.0,1.12,342
uitgedruktIn,forward,1.0,1.0,1.0,29
uitgedruktIn,backward,2.0,6.0,4.14,7
