prop,label,domain,range
http://purl.org/dc/terms/creator,,,
http://purl.org/dc/terms/references,,,
http://www.w3.org/2004/02/skos/core#broadMatch,,,
http://www.w3.org/2004/02/skos/core#broader,,,
http://www.w3.org/2004/02/skos/core#exactMatch,,,
http://www.w3.org/2004/02/skos/core#hasTopConcept,,,
http://www.w3.org/2004/02/skos/core#inScheme,,,
http://www.w3.org/2004/02/skos/core#member,,,
http://www.w3.org/2004/02/skos/core#narrower,,,
http://www.w3.org/2004/02/skos/core#topConceptOf,,,
https://data.omgeving.vlaanderen.be/ns/csor#heeftAfleiding,heeft afleiding,,
https://data.omgeving.vlaanderen.be/ns/csor#heeftAspect,Heeft aspect,,nbe3abf66fd124c8a8dc703aacee6da0fb2
https://data.omgeving.vlaanderen.be/ns/csor#heeftBronEenheid,Eenheid van,,https://data.omgeving.vlaanderen.be/ns/csor#Eenheid
https://data.omgeving.vlaanderen.be/ns/csor#heeftBronParameter,heeft bronparameter,,https://data.omgeving.vlaanderen.be/ns/csor#Parameter
https://data.omgeving.vlaanderen.be/ns/csor#heeftBronParameterAspect,Parameteraspect van,,https://data.omgeving.vlaanderen.be/ns/csor#ParameterAspect
https://data.omgeving.vlaanderen.be/ns/csor#heeftDoelEenheid,Eenheid naar,,https://data.omgeving.vlaanderen.be/ns/csor#Eenheid
https://data.omgeving.vlaanderen.be/ns/csor#heeftDoelParameter,heeft doelparameter,,https://data.omgeving.vlaanderen.be/ns/csor#Parameter
https://data.omgeving.vlaanderen.be/ns/csor#heeftDoelParameterAspect,Parameteraspect naar,,https://data.omgeving.vlaanderen.be/ns/csor#ParameterAspect
https://data.omgeving.vlaanderen.be/ns/csor#heeftDrager,Drager,,https://data.omgeving.vlaanderen.be/ns/csor#Drager
https://data.omgeving.vlaanderen.be/ns/csor#heeftKwantificeerbaarAspect,heeft kwantificeerbaar aspect,,https://data.omgeving.vlaanderen.be/ns/csor#KwantificeerbaarAspect
https://data.omgeving.vlaanderen.be/ns/csor#heeftNatuurkundigeDimensie,Natuurkundige dimensie,,https://data.omgeving.vlaanderen.be/ns/csor#NatuurkundigeDimensie
https://data.omgeving.vlaanderen.be/ns/csor#heeftNoemer,noemer,,https://data.omgeving.vlaanderen.be/ns/csor#ParameterTerm
https://data.omgeving.vlaanderen.be/ns/csor#heeftParameter,Heeft parameter,,https://data.omgeving.vlaanderen.be/ns/csor#Parameter
https://data.omgeving.vlaanderen.be/ns/csor#heeftParameterAspect,heeft parameter aspect,,https://data.omgeving.vlaanderen.be/ns/csor#ParameterAspect
https://data.omgeving.vlaanderen.be/ns/csor#heeftResultaattype,Resultaattype,,nbe3abf66fd124c8a8dc703aacee6da0fb1
https://data.omgeving.vlaanderen.be/ns/csor#heeftSoortWaardebepaling,Soort waardebepaling,,https://data.omgeving.vlaanderen.be/ns/csor#SoortWaardebepaling
https://data.omgeving.vlaanderen.be/ns/csor#heeftTeller,teller,,https://data.omgeving.vlaanderen.be/ns/csor#ParameterTerm
https://data.omgeving.vlaanderen.be/ns/csor#heeftTerm,Term,,https://data.omgeving.vlaanderen.be/ns/csor#VeeltermParameterTerm
https://data.omgeving.vlaanderen.be/ns/csor#heeftVariabele,Variabele,,https://data.omgeving.vlaanderen.be/ns/csor#Variabele
https://data.omgeving.vlaanderen.be/ns/csor#referentieEenheid,Referentie-eenheid,,https://data.omgeving.vlaanderen.be/ns/csor#Eenheid
https://data.omgeving.vlaanderen.be/ns/csor#toepasbareEenheid,Toepasbare eenheid,,https://data.omgeving.vlaanderen.be/ns/csor#Eenheid
https://data.omgeving.vlaanderen.be/ns/csor#uitgedruktIn,Uitgedrukt in,,https://data.omgeving.vlaanderen.be/ns/csor#Variabele
https://pubchem.ncbi.nlm.nih.gov/rest/rdf/compound,,,
