subject,predicaat,klasse,tekst,match_type,vmm_term,vmm_uri,vmm_definitie
https://data.omgeving.vlaanderen.be/id/concept/csor/organisatiespecifiekereferentie/OSR_1357,prefLabel,OrganisatieSpecifiekeReferentie,OSR_1357,geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/parameteraspect/PAS_2906,prefLabel,ParameterAspect,2+3+4CFol (standaard in water): vracht,geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_4199,prefLabel,Parameter,"3,4,4',5-Tetrachloorbifenyl (PCB81) in lucht",geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_443,prefLabel,Parameter,Kwik totaal in vaste deel van de aarde,geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/organisatiespecifiekereferentie/OSR_2811,prefLabel,OrganisatieSpecifiekeReferentie,OSR_2811,geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_2138,altLabel,Parameter,Perfluorbutaansulfonamide (PFBSA),geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/organisatiespecifiekereferentie/OSR_6610,prefLabel,OrganisatieSpecifiekeReferentie,OSR_6610,geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/organisatiespecifiekereferentie/OSR_4476,prefLabel,OrganisatieSpecifiekeReferentie,OSR_4476,geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/organisatiespecifiekereferentie/OSR_7407,prefLabel,OrganisatieSpecifiekeReferentie,OSR_7407,geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/variabele/V_45,prefLabel,Variabele,Calcium,geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/parameteraspect/PAS_3732,prefLabel,ParameterAspect,PFHxS vertakt (standaard in water): massaconcentratie,geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/parameteraspect/PAS_6290,prefLabel,ParameterAspect,Metoxur (standaard in water): vracht per tijd,geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/organisatiespecifiekereferentie/OSR_3043,prefLabel,OrganisatieSpecifiekeReferentie,OSR_3043,geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/organisatiespecifiekereferentie/OSR_5277,prefLabel,OrganisatieSpecifiekeReferentie,OSR_5277,geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/parameteraspect/PAS_3896,prefLabel,ParameterAspect,EyAc (standaard in vaste deel van de aarde): massaverhouding per droge stof,geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_592,verkorteNotatie,Parameter,Cyanazine,geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_1234,prefLabel,Parameter,Simazine in water,geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_1350,altLabel,Parameter,Tetrabroombisfenol-A,geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_2128,prefLabel,Parameter,8:2 fluortelomeerfosfaat monoester (8:2 PAP) in vaste deel van de aarde,geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_3609,prefLabel,Parameter,Calciet in water,geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/parameteraspect/PAS_3266,prefLabel,ParameterAspect,Rb mt (multi totaal in water): massaconcentratie,geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/organisatiespecifiekereferentie/OSR_6297,prefLabel,OrganisatieSpecifiekeReferentie,OSR_6297,geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_4208,altLabel,Parameter,Som van de 31 kwantificeerbare PFAS Eluaat LS10,bevat_vmm_term,pfas,https://vmm.vlaanderen.be/woordenboek/pfas,"Poly- en perfluoralkylstoffen zijn chemische stoffen die door de mens zijn gemaakt. Zij komen van nature niet in het milieu voor. Ze worden in vele industriële toepassingen en consumentenproducten gebruikt. Denk aan de teflon anti-aanbaklaag in pannen, cosmetica, textiel, brandblusschuim, schoonmaakmiddelen of smeermiddelen . PFAS kunnen schadelijke effecten hebben op de gezondheid van mensen."
https://data.omgeving.vlaanderen.be/id/concept/csor/parameteraspect/PAS_2928,prefLabel,ParameterAspect,TOCl (standaard in water): vracht,geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/variabele/V_103,prefLabel,Variabele,Sulfamethoxazol,geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_1422,verkorteNotatie,Parameter,Microtox Solid Phase,geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/parameteraspect/PAS_4044,prefLabel,ParameterAspect,3MyHa (standaard in lucht): percentage,geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_2642,verkorteNotatie,Parameter,Dieldrin,geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_3828,prefLabel,Parameter,Escherichia Coli in materiaal,geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_835,altLabel,Parameter,Oxydemeton-methyl,geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_839,altLabel,Parameter,Triazofos,geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_657,prefLabel,Parameter,Alexandrium spp. in water,geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_2270,prefLabel,Parameter,Perfluor-n-propaansulfonzuur in water,geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/organisatiespecifiekereferentie/OSR_3462,prefLabel,OrganisatieSpecifiekeReferentie,OSR_3462,geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/organisatiespecifiekereferentie/OSR_2215,prefLabel,OrganisatieSpecifiekeReferentie,OSR_2215,geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/variabele/V_1580,prefLabel,Variabele,1-Butyn,geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/parameteraspect/PAS_1479,prefLabel,ParameterAspect,DBySnDC (standaard in water): massaconcentratie,geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/organisatiespecifiekereferentie/OSR_525,prefLabel,OrganisatieSpecifiekeReferentie,OSR_525,geen,,,
