eenheid,label,csor_symbool,matchType,qudt_uri,qudt_symbool,http_status,edit_distance_raw,edit_distance_genormaliseerd,categorie,redirect_statuses,final_url,permanent_redirect,payload_subject_matches
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_128,milligram chloor per liter,mgCl/L,broadMatch,http://qudt.org/vocab/unit/MilliGM-PER-L,mg/L,200,2,2,afwijkend,302,https://qudt.org/vocab/unit/MilliGM-PER-L,False,True
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_319,nanogram chloor per liter,ngCl/L,broadMatch,http://qudt.org/vocab/unit/NanoGM-PER-L,ng/L,200,2,2,afwijkend,302,https://qudt.org/vocab/unit/NanoGM-PER-L,False,True
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_63,becquerel per liter,Bq/L,exactMatch,http://qudt.org/vocab/unit/BQ-PER-L,Bq/L,200,0,0,exact,302,https://qudt.org/vocab/unit/BQ-PER-L,False,True
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_18,gram per uur,g/u,exactMatch,http://qudt.org/vocab/unit/GM-PER-HR,g/h,200,1,0,notatie_only,302,https://qudt.org/vocab/unit/GM-PER-HR,False,True
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_185,gram fluor per dag,gF/d,broadMatch,http://qudt.org/vocab/unit/GM-PER-DAY,g/d,200,1,1,afwijkend,302,https://qudt.org/vocab/unit/GM-PER-DAY,False,True
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_23,ton per dag,t/d,exactMatch,http://qudt.org/vocab/unit/TONNE-PER-DAY,t/d,200,0,0,exact,302,https://qudt.org/vocab/unit/TONNE-PER-DAY,False,True
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_298,milligram Sulfaat per liter,mgSO4/L,broadMatch,http://qudt.org/vocab/unit/MilliGM-PER-L,mg/L,200,3,3,afwijkend,302,https://qudt.org/vocab/unit/MilliGM-PER-L,False,True
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_101,microgram koolstof per liter,µgC/L,broadMatch,http://qudt.org/vocab/unit/MicroGM-PER-L,μg/L,200,2,1,afwijkend,302,https://qudt.org/vocab/unit/MicroGM-PER-L,False,True
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_147,gram chloor per dag,gCl/d,broadMatch,http://qudt.org/vocab/unit/GM-PER-DAY,g/d,200,2,2,afwijkend,302,https://qudt.org/vocab/unit/GM-PER-DAY,False,True
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_320,gram chloor per liter,gCl/L,broadMatch,http://qudt.org/vocab/unit/GM-PER-L,g/L,200,2,2,afwijkend,302,https://qudt.org/vocab/unit/GM-PER-L,False,True
