eenheid,label,symbool
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_35,x 1000 kubieke meter,10*3m³
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_58,per 250 milliliter,/250mL
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_252,ton per kubieke meter,t/m³
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_206,parts per million,ppm
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_41,ton,ton
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_231,zuurequivalent per hectare,zeq/ha
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_218,picogram,pg
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_84,Effecteenheid,EE
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_158,nicardipine eq./L staal,nicardipine eq/L
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_241,kilogram zwavel per hectare per jaar,kgS/ha.jr
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_87,gram equivalenten per jaar,g eq/jr
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_342,nanogram toxiciteit equivalenten per normaal kubieke meter,ngTEQ/Nm³
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_254,nanogram per kilogram,ng/kg
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_217,nanogram per vierkante meter per dag,ng/m².d
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_57,aantal cellen per liter,#c/L
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_303,kilogram per kilogram droge stof,kg/kg ds
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_234,kilogram stikstof per hectare per jaar,kgN/ha.jr
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_279,milligram equivalenten per kilogram,mg eq/kg
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_78,Inwoner equivalent,IE
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_191,"nanogram 2,3,7,8-TCDD equivalent per kilogram droge stof",ng TCDD eq/kg ds
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_31,kilogram per ton,kg/t
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_221,aantal deeltjes per kubieke centimeter lucht,#deeltjes/cm³
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_236,kilogram fosfor per hectare,kgP/ha
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_229,mol per liter,mol/L
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_51,kubieke meter per maand,m³/mnd
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_24,kiloton per jaar,kt/jr
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_368,nanogram TEQ per kilogram,ngTEQ/kg
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_250,Volt,V
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_308,milligram toxiciteit equivalenten per kilogram droge stof,mgTEQ/kg ds
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_215,micromol per vierkante meter per seconde,µmol/m².s
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_200,liter per vierkante meter,L/m²
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_67,milli-equivalent per liter,meq/L
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_269,gram per milliliter,g/mL
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_197,equivalenten per hectare per jaar,eq/ha.jr
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_172,milligram per normaal kubieke meter,mg/Nm³
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_21,milligram per jaar,mg/jr
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_245,vierkante millimeter per seconde,mm²/s
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_356,gram per ton cokes,g/t cokes
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_8,milligram per kubieke meter,mg/m³
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_253,gram per honderd gram,g/100g
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_299,gram NatriumChloride per 100 gram,gNaCl/100g
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_108,ton stikstof per jaar,tN/jr
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_292,nanogram per microliter,ng/µL
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_17,gram per jaar,g/jr
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_306,kilogram stikstof per kilogram droge stof,kgN/kg ds
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_202,graden,graden
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_90,terajoule,TJ
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_214,meter per seconde,m/s
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_173,picogram toxiciteit equivalenten per normaal kubieke meter,pgTEQ/Nm³
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_372,mol per kilogram droge stof,mol/kg ds
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_274,gram equivalenten per liter,g eq/L
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_91,gigajoule per uur,GJ/u
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_275,gram equivalenten per kubieke meter,g eq/m³
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_278,microliter per liter,µL/L
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_164,milligram toxiciteit equivalenten per jaar,mgTEQ/jr
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_68,equivalent per liter,eq/L
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_204,nanogram per kubieke meter,ng/m³
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_258,kubieke meter per kubieke meter,m³/m³
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_75,Franse hardheidsgraden,°F
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_92,megawatt,MW
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_94,uur,u
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_256,nanometer,nm
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_326,microgram per normaal kubieke meter,µg/Nm³
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_282,milliStokes,mSt
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_232,picogram toxiciteit equiv. per vierk. met. per dag,pgTEQ/m².d
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_216,milligram per vierkante meter per dag,mg/m².d
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_261,kilogram per kilogram,kg/kg
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_209,hectopascal,hPa
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_198,kilogram per hectare per jaar,kg/ha.jr
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_277,siemens per centimeter,S/cm
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_325,nanogram per normaal kubieke meter,ng/Nm³
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_56,per milliliter,/mL
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_199,kilogram per hectare,kg/ha
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_20,kg per maand,kg/mnd
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_244,kiloJoule per kilogram,kJ/kg
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_9,picogram per liter,pg/L
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_93,seconde,sec
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_370,milligram TEQ per kilogram,mgTEQ/kg
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_271,microgram equivalenten per kubieke meter,µg eq/m³
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_159,nanogram toxiciteit equivalenten per kg droge stof,ngTEQ/kg ds
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_361,kolonievormende eenheden per 250 milliliter,kve/250mL
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_82,picogram equivalenten per gram,pg eq/g
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_312,microgram asbest per uur,µg asbest/u
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_288,kiloNewton per vierkante meter,kN/m²
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_240,parts par million - methaanequivalenten,ppmC
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_30,gram ter ton,g/t
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_52,kubieke meter per week,m³/wk
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_328,miligram koolstof per normaal kubieke meter,mgC/Nm³
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_351,microgram asbest per normaal kubieke meter,µg asbest/Nm³
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_349,gram toxiciteit equivalenten per normaal kubieke meter,gTEQ/Nm³
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_155,dexamethasone eq./L staal,dexamethasone eq/L
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_86,milligram equivalenten per jaar,mg eq/jr
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_313,milligram asbest per uur,mg asbest/u
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_310,kilogram zuurstof per ton,kgO2/t
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_255,micrometer,µm
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_154,17b estradiol eq./L staal,17b estradiol eq/L
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_219,picogram per kubieke meter,pg/m³
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_201,Watt per vierkante meter,W/m²
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_359,kilogram stikstof per kilogram,kgN/kg
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_266,microgram per uur,µg/u
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_363,kolonievormende eenheden per milliliter,kve/mL
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_364,kubieke millimeter biovolume per liter,mm³ biovolume/L
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_276,decimeter,dm
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_270,nanogram equivalenten per kubieke meter,ng eq/m³
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_65,Formazine turbiditeitseenheden,FTU
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_283,millimol per kilogram,mmol/kg
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_285,kubieke millimeter per liter,mm³/L
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_293,microgram per gram,µg/g
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_192,petajoule per jaar,PJ/jr
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_259,ton per hectare,t/ha
