eenheid,label,symbool,flag_type,detail
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_235,zuurequivalent per hectare per jaar,zeq/ha.jr,near_duplicate_labelwoord,'zuurequivalent' lijkt op vaker voorkomend 'equivalent'
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_231,zuurequivalent per hectare,zeq/ha,near_duplicate_labelwoord,'zuurequivalent' lijkt op vaker voorkomend 'equivalent'
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_54,per 100 mL,/100mL,near_duplicate_labelwoord,'ml' lijkt op vaker voorkomend 'mol'
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_104,micorgram stikstof per liter,µgN/L,near_duplicate_labelwoord,'micorgram' lijkt op vaker voorkomend 'microgram'
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_30,gram ter ton,g/t,near_duplicate_labelwoord,'ter' lijkt op vaker voorkomend 'meter'
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_328,miligram koolstof per normaal kubieke meter,mgC/Nm³,near_duplicate_labelwoord,'miligram' lijkt op vaker voorkomend 'milligram'
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_232,picogram toxiciteit equiv. per vierk. met. per dag,pgTEQ/m².d,near_duplicate_labelwoord,'met' lijkt op vaker voorkomend 'meter'
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_113,kilogram stifstof,kgN,near_duplicate_labelwoord,'stifstof' lijkt op vaker voorkomend 'stikstof'
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_130,millgram fosfor per kilogram droge stof,mgP/kg ds,near_duplicate_labelwoord,'millgram' lijkt op vaker voorkomend 'milligram'
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_203,arbitraire eenheid per kubieke meter lucht,AU/m3,near_duplicate_labelwoord,'eenheid' lijkt op vaker voorkomend 'eenheden'
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_240,parts par million - methaanequivalenten,ppmC,near_duplicate_labelwoord,'methaanequivalenten' lijkt op vaker voorkomend 'equivalenten'
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_105,kilogram stifkstof  per dag,kgN/d,near_duplicate_labelwoord,'stifkstof' lijkt op vaker voorkomend 'stikstof'
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_323,milligram koolstofdisulfide per liter,mg Cl/kg,label_symbool_stofmismatch,"label wijst op 'C', symbool bevat 'Cl'"
