subject,predicaat,klasse,tekst,flag_type,detail,suggestie
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_2684,prefLabel,Parameter,Ijzer in regen,gekende_fout,'Ijzer' komt voor als foutieve vorm in opentaal-corrections.tsv,IJzer
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_2682,altLabel,Parameter,Ijzer,gekende_fout,'Ijzer' komt voor als foutieve vorm in opentaal-corrections.tsv,IJzer
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_956,verkorteNotatie,Parameter,"Ijzer, tweewaardig",gekende_fout,'Ijzer' komt voor als foutieve vorm in opentaal-corrections.tsv,IJzer
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_1926,verkorteNotatie,Parameter,Ijzer multi opgelost,gekende_fout,'Ijzer' komt voor als foutieve vorm in opentaal-corrections.tsv,IJzer
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_2687,verkorteNotatie,Parameter,Ijzer,gekende_fout,'Ijzer' komt voor als foutieve vorm in opentaal-corrections.tsv,IJzer
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_2683,verkorteNotatie,Parameter,Ijzer,gekende_fout,'Ijzer' komt voor als foutieve vorm in opentaal-corrections.tsv,IJzer
https://data.omgeving.vlaanderen.be/id/concept/csor/variabele/V_816,prefLabel,Variabele,Caffeïne,gekende_fout,'Caffeïne' komt voor als foutieve vorm in opentaal-corrections.tsv,cafeïne
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_1986,prefLabel,Parameter,Ijzer MUC project totaal in water,gekende_fout,'Ijzer' komt voor als foutieve vorm in opentaal-corrections.tsv,IJzer
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_2683,altLabel,Parameter,Ijzer,gekende_fout,'Ijzer' komt voor als foutieve vorm in opentaal-corrections.tsv,IJzer
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_1259,prefLabel,Parameter,Caffeïne in water,gekende_fout,'Caffeïne' komt voor als foutieve vorm in opentaal-corrections.tsv,cafeïne
https://data.omgeving.vlaanderen.be/id/concept/csor/parameteraspect/PAS_4258,prefLabel,ParameterAspect,Caffeïne (standaard in lucht): massaconcentratie (Nm³),gekende_fout,'Caffeïne' komt voor als foutieve vorm in opentaal-corrections.tsv,cafeïne
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_4004,prefLabel,Parameter,"Ijzer, tweewaardig opgelost in vaste deel van de aarde",gekende_fout,'Ijzer' komt voor als foutieve vorm in opentaal-corrections.tsv,IJzer
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_4004,altLabel,Parameter,"Ijzer, tweewaardig opgelost",gekende_fout,'Ijzer' komt voor als foutieve vorm in opentaal-corrections.tsv,IJzer
https://data.omgeving.vlaanderen.be/id/concept/csor/variabele/V_2175,prefLabel,Variabele,"Ijzer, driewaardig",gekende_fout,'Ijzer' komt voor als foutieve vorm in opentaal-corrections.tsv,IJzer
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_2583,prefLabel,Parameter,Caffeïne in lucht,gekende_fout,'Caffeïne' komt voor als foutieve vorm in opentaal-corrections.tsv,cafeïne
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_1240,verkorteNotatie,Parameter,Ijzer totaal,gekende_fout,'Ijzer' komt voor als foutieve vorm in opentaal-corrections.tsv,IJzer
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_1992,altLabel,Parameter,Ijzer MUCd project opgelost,gekende_fout,'Ijzer' komt voor als foutieve vorm in opentaal-corrections.tsv,IJzer
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_2685,altLabel,Parameter,Ijzer,gekende_fout,'Ijzer' komt voor als foutieve vorm in opentaal-corrections.tsv,IJzer
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_2686,verkorteNotatie,Parameter,Ijzer,gekende_fout,'Ijzer' komt voor als foutieve vorm in opentaal-corrections.tsv,IJzer
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_2583,verkorteNotatie,Parameter,Caffeïne,gekende_fout,'Caffeïne' komt voor als foutieve vorm in opentaal-corrections.tsv,cafeïne
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_433,altLabel,Parameter,Ijzer,gekende_fout,'Ijzer' komt voor als foutieve vorm in opentaal-corrections.tsv,IJzer
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_2685,prefLabel,Parameter,Ijzer in PM10,gekende_fout,'Ijzer' komt voor als foutieve vorm in opentaal-corrections.tsv,IJzer
https://data.omgeving.vlaanderen.be/id/concept/csor/variabele/V_624,prefLabel,Variabele,"Ijzer, tweewaardig",gekende_fout,'Ijzer' komt voor als foutieve vorm in opentaal-corrections.tsv,IJzer
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_1241,verkorteNotatie,Parameter,Ijzer totaal,gekende_fout,'Ijzer' komt voor als foutieve vorm in opentaal-corrections.tsv,IJzer
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_4005,altLabel,Parameter,"Ijzer, tweewaardig opgelost",gekende_fout,'Ijzer' komt voor als foutieve vorm in opentaal-corrections.tsv,IJzer
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_1987,verkorteNotatie,Parameter,Ijzer MUC project opgelost,gekende_fout,'Ijzer' komt voor als foutieve vorm in opentaal-corrections.tsv,IJzer
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_434,prefLabel,Parameter,Ijzer opgelost in water,gekende_fout,'Ijzer' komt voor als foutieve vorm in opentaal-corrections.tsv,IJzer
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_956,altLabel,Parameter,"Ijzer, tweewaardig",gekende_fout,'Ijzer' komt voor als foutieve vorm in opentaal-corrections.tsv,IJzer
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_1991,verkorteNotatie,Parameter,Ijzer MUCd project totaal,gekende_fout,'Ijzer' komt voor als foutieve vorm in opentaal-corrections.tsv,IJzer
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_1926,altLabel,Parameter,Ijzer multi opgelost,gekende_fout,'Ijzer' komt voor als foutieve vorm in opentaal-corrections.tsv,IJzer
